i	j	k	l	valor
1	12	42	73	1
1	26	27	55	1
1	26	66	44	1
1	38	6	39	1
1	41	52	66	1
1	47	21	72	1
2	1	47	21	1
2	19	29	77	1
2	26	9	38	1
2	30	12	31	1
2	31	74	24	1
2	32	55	47	1
2	43	61	27	1
2	57	68	12	1
2	59	57	64	1
2	65	70	16	1
2	67	19	28	1
2	70	77	53	1
2	73	56	17	1
2	81	83	41	1
3	7	59	10	1
3	12	66	73	1
3	30	14	50	3
3	56	10	16	3
3	60	49	32	1
3	61	30	41	4
3	66	8	48	1
3	67	50	52	1
3	67	74	31	1
3	81	76	2	1
4	17	57	20	1
4	23	58	3	1
4	27	63	32	1
4	27	79	9	1
4	37	6	48	3
4	44	60	68	1
4	68	62	41	1
4	81	78	48	1
5	7	18	6	1
5	21	43	36	1
5	24	27	14	1
5	35	61	64	1
5	44	48	18	1
5	52	42	44	1
5	57	23	61	1
5	59	57	32	1
5	63	10	47	1
5	67	78	43	1
5	75	20	72	1
6	4	27	79	1
6	12	48	46	1
6	18	68	38	1
6	24	26	46	1
6	25	4	44	1
6	26	21	72	1
6	37	80	64	1
6	38	20	44	1
6	39	56	38	1
6	41	62	52	1
6	44	72	4	1
6	48	34	22	1
6	48	61	22	1
6	48	78	45	1
6	49	63	14	3
6	50	49	55	1
6	50	76	55	6
6	55	46	78	1
6	80	43	69	1
7	2	26	9	1
7	14	65	30	1
7	18	6	37	1
7	23	22	52	1
7	32	22	73	1
7	34	26	65	1
7	47	44	19	1
7	50	32	14	1
7	59	10	71	1
7	61	6	24	1
7	81	67	69	1
8	4	27	63	1
8	21	20	65	1
8	31	72	56	1
8	35	33	31	1
8	46	64	15	1
8	48	15	46	1
9	6	55	46	1
9	7	47	44	1
9	16	79	3	3
9	33	27	64	1
9	34	71	74	1
9	35	47	8	1
9	38	48	44	1
9	41	66	46	1
9	63	14	83	1
10	7	61	6	1
10	9	63	14	1
10	16	60	19	3
10	22	12	65	1
10	42	11	45	1
10	45	30	61	1
10	47	50	33	1
10	47	68	58	1
10	49	67	81	1
10	71	2	59	1
11	18	33	12	1
11	44	69	63	1
11	45	74	9	1
11	46	25	27	1
11	50	63	65	1
11	58	23	59	1
11	61	82	62	1
11	70	71	9	1
11	74	63	3	1
12	3	67	50	1
12	14	29	27	1
12	19	20	44	1
12	22	9	41	1
12	27	46	54	1
12	31	53	82	1
12	40	66	61	1
12	42	73	58	1
12	48	46	59	1
12	49	4	68	1
12	64	80	7	1
12	65	6	80	1
12	66	73	38	1
12	67	63	14	1
12	72	12	49	1
12	75	57	5	1
13	22	13	50	1
13	23	77	21	1
13	31	66	38	1
13	34	58	29	1
13	50	55	35	1
13	55	6	50	1
14	4	23	58	1
14	10	47	68	1
14	17	11	46	1
14	18	22	69	1
14	23	64	19	1
14	29	27	20	1
14	34	31	36	1
14	41	26	10	1
14	48	18	53	1
14	48	20	50	2
14	50	2	30	1
14	50	2	70	1
14	50	2	81	1
14	61	14	82	1
14	65	30	50	1
14	65	44	49	1
14	68	43	39	1
14	76	30	25	3
14	82	23	36	1
14	83	10	45	1
15	22	9	33	1
15	22	71	48	2
15	36	51	62	1
15	46	75	60	1
15	48	52	71	1
15	54	64	61	1
15	65	59	19	1
15	79	1	26	1
15	82	9	16	3
15	83	45	31	1
16	5	67	78	1
16	11	74	63	1
16	14	34	31	1
16	17	45	32	1
16	44	5	59	1
16	57	56	21	1
16	60	19	69	3
16	79	3	30	3
17	11	46	25	1
17	13	31	66	1
17	31	38	27	1
17	45	32	31	1
17	45	55	52	1
17	57	20	48	1
17	83	36	58	1
18	5	7	18	1
18	6	37	80	1
18	8	46	64	1
18	22	69	14	1
18	33	12	19	1
18	37	14	18	1
18	53	71	27	1
18	55	80	76	1
18	68	38	30	1
18	68	80	22	1
18	74	37	76	1
18	75	82	40	1
19	11	50	63	1
19	20	44	20	1
19	28	40	18	1
19	29	77	5	1
19	29	77	60	1
19	40	48	44	1
19	45	79	70	1
19	47	65	60	1
19	69	4	37	3
19	73	43	6	1
19	76	44	61	1
20	1	26	27	1
20	1	41	52	1
20	2	67	19	1
20	27	9	35	1
20	44	20	82	1
20	44	67	48	1
20	48	41	81	1
20	49	14	48	2
20	49	68	58	1
20	50	45	27	1
20	50	73	32	1
20	63	65	15	1
20	65	3	67	1
20	72	5	52	1
20	82	43	5	1
21	10	9	63	1
21	14	23	64	1
21	15	22	71	1
21	20	65	3	1
21	24	58	66	1
21	43	36	2	1
21	52	63	22	1
21	64	26	12	1
21	72	12	75	1
21	72	74	26	1
22	6	18	68	1
22	9	33	27	1
22	9	41	66	1
22	12	65	6	1
22	13	50	55	1
22	16	5	67	1
22	20	1	26	1
22	20	1	41	1
22	27	31	6	1
22	33	45	17	1
22	41	10	42	1
22	52	70	75	1
22	60	45	19	1
22	61	15	83	1
22	69	14	10	1
22	71	48	45	2
22	73	6	41	1
22	81	2	73	1
23	1	12	42	1
23	15	36	51	1
23	22	52	70	1
23	36	51	41	1
23	58	3	7	1
23	59	49	68	1
23	61	19	76	1
23	64	19	47	1
23	65	58	41	1
23	77	21	52	1
23	79	37	48	1
24	19	73	43	1
24	25	51	58	1
24	26	46	43	1
24	27	14	68	1
24	33	32	65	1
24	36	33	51	1
24	58	66	42	1
24	68	7	34	1
24	74	32	55	1
24	75	12	14	1
25	4	44	60	1
25	27	78	11	1
25	31	55	71	1
25	51	58	31	1
25	56	62	48	1
25	62	43	71	3
26	7	81	67	1
26	9	38	48	1
26	10	22	12	1
26	12	27	46	1
26	13	23	77	1
26	21	72	12	1
26	27	55	21	1
26	36	9	25	1
26	37	16	57	1
26	39	46	74	1
26	46	43	81	1
26	63	19	11	1
26	64	43	25	1
26	65	62	17	1
26	65	82	69	1
26	66	44	67	1
26	80	8	21	1
27	9	35	47	1
27	14	68	43	1
27	15	22	71	1
27	20	49	68	1
27	24	33	32	1
27	29	42	69	1
27	31	6	26	1
27	46	54	61	1
27	49	51	81	1
27	55	21	15	1
27	58	70	41	1
27	60	78	65	1
27	63	32	79	1
27	64	6	38	1
27	69	55	58	1
27	77	66	69	1
27	78	11	61	1
27	79	9	6	1
27	80	58	5	1
28	13	55	6	1
28	40	18	75	1
28	67	6	50	1
29	14	65	44	1
29	27	20	49	1
29	42	69	58	1
29	73	65	2	1
29	75	11	18	1
29	77	5	35	1
29	77	60	35	1
30	12	31	53	1
30	14	50	2	3
30	22	61	15	1
30	25	62	43	3
30	41	3	56	3
30	41	79	48	1
30	50	65	64	1
30	61	54	83	1
31	5	21	43	1
31	6	26	21	1
31	13	34	58	1
31	23	1	12	1
31	32	20	27	1
31	36	63	38	1
31	38	27	29	1
